"MUNID","CODEID","TYPE","ROUTE_VERT","DIREC_UNIQ","STATUT","REVETEMENT","PROPRIO","LARGEUR","LONGUEUR","ENTITEID","GEOM"
"81017","10","Piste multifonctionnelle","Oui","Non","T.Q.C","Flexible","Ville","0","791.0","{9A03CD82-97EC-4481-94F0-4617DE67B38F}","LINESTRING (-75.488056 45.523525,-75.488317 45.523527,-75.488542 45.523479,-75.489134 45.523351,-75.491437 45.52287,-75.493293 45.522479,-75.494209 45.522283,-75.494522 45.522202,-75.494799 45.522145,-75.495238 45.522054,-75.495316 45.522042,-75.495399 45.522039,-75.495465 45.522054,-75.495525 45.522084,-75.495554 45.522102,-75.495784 45.522077,-75.495829 45.522054,-75.495866 45.522013,-75.495902 45.521966,-75.495962 45.521926,-75.496036 45.521892,-75.496147 45.521854,-75.496323 45.521807,-75.496545 45.521758,-75.496808 45.521703,-75.496962 45.521669,-75.497067 45.521651,-75.497229 45.521635,-75.497399 45.521606,-75.497648 45.521561)"
"81017","12","Accotement asphalté","Non","Oui","T.Q.C","Flexible","Ville","0","199.5","{0B303D0E-36DF-4FDF-B2F3-B17E961EF4E8}","LINESTRING (-75.677578 45.507149,-75.677438 45.506106,-75.67736 45.50536)"
"81017","13","Chaussée désignée","Oui","Oui","T.Q.C","Flexible","Ville","0","692.4","{92ACEAAE-371B-4FB5-850A-D3B5EEF76E57}","LINESTRING (-75.420868 45.545479,-75.420145 45.545675,-75.420032 45.545705,-75.419884 45.545723,-75.419261 45.545766,-75.419123 45.545775,-75.417912 45.545861,-75.417796 45.545873,-75.41699 45.54594,-75.41686 45.545949,-75.416228 45.546001,-75.416077 45.54601,-75.415383 45.546072,-75.415248 45.546091,-75.414693 45.546175,-75.414211 45.546251,-75.41415 45.54604,-75.414017 45.545611,-75.413876 45.545163,-75.413769 45.54482,-75.413762 45.544817)"
"81017","14","Sentier polyvalent","Non","Non","T.Q.C","Flexible","CCN","0","221.5","{3AE3207D-E187-4A08-BC85-C9EBB010D2AD}","LINESTRING (-75.765227 45.471457,-75.765234 45.471472,-75.765244 45.471506,-75.765236 45.47153,-75.765208 45.471567,-75.765173 45.47163,-75.76515 45.471708,-75.765138 45.471796,-75.765136 45.471852,-75.76515 45.471892,-75.765184 45.471933,-75.765258 45.471998,-75.765342 45.472078,-75.765412 45.472153,-75.765467 45.472214,-75.765499 45.47227,-75.765513 45.472317,-75.765513 45.472375,-75.765496 45.472449,-75.76548 45.472508,-75.76545 45.472585,-75.7654 45.472656,-75.765347 45.472696,-75.765181 45.472801,-75.764906 45.472977,-75.76469 45.473134)"
"81017","15","Piste multifonctionnelle","Oui","Non","T.Q.C","Flexible","Ville","0","336.6","{19284522-3C97-445E-9AFB-FE6C6605B8CC}","LINESTRING (-75.650682 45.48007,-75.650647 45.480044,-75.650646 45.479866,-75.650634 45.479757,-75.650619 45.479643,-75.6506 45.479578,-75.650586 45.479529,-75.65052 45.479432,-75.650445 45.479349,-75.650386 45.479269,-75.650352 45.479191,-75.650338 45.479098,-75.650313 45.478742,-75.650237 45.478081,-75.650132 45.477254,-75.650096 45.47717,-75.650047 45.477112)"
"81017","16","Sentier polyvalent","Non","Non","T.Q.C","Flexible","CCN","0","190.9","{6A7C960F-E4F5-4DFD-8E53-A346C4B937CC}","LINESTRING (-75.710923 45.440957,-75.710853 45.440941,-75.710782 45.440931,-75.71071 45.440925,-75.710637 45.440924,-75.710564 45.440927,-75.710493 45.440933,-75.710423 45.440941,-75.710324 45.440952,-75.710225 45.440958,-75.710124 45.44096,-75.710024 45.440957,-75.709874 45.44095,-75.709725 45.440936,-75.709577 45.440916,-75.709431 45.440889,-75.709288 45.440856,-75.709149 45.440817,-75.709037 45.440779,-75.708924 45.440744,-75.708851 45.440728,-75.708775 45.440719,-75.708699 45.440717,-75.708623 45.440722,-75.708548 45.440734)"
"81017","17","Piste multifonctionnelle","Non","Non","T.Q.C","Flexible","Ville","0","947.0","{05E241E1-4574-499D-BDFE-1D35BFC88A5B}","LINESTRING (-75.65875 45.507159,-75.658734 45.50716,-75.658725 45.507161,-75.658717 45.507161,-75.658708 45.50716,-75.658699 45.507159,-75.658645 45.50715,-75.658616 45.507146,-75.658607 45.507144,-75.658597 45.507144,-75.658587 45.507143,-75.658586 45.507143,-75.658578 45.507143,-75.65857 45.507144,-75.65797 45.507189,-75.657747 45.507205,-75.656825 45.507281,-75.655832 45.507357,-75.655133 45.507403,-75.654913 45.507419,-75.653934 45.507494,-75.652212 45.507605,-75.651989 45.507621,-75.650679 45.507703,-75.649974 45.507758,-75.649095 45.507834,-75.648878 45.507856,-75.646705 45.508048)"
"81017","18","Piste multifonctionnelle","Non","Non","T.Q.C","Flexible","CCN","0","19.9","{EA96EE72-79B3-4D09-8DC1-1CC4B7B6D779}","LINESTRING (-75.70947 45.431825,-75.709478 45.431835,-75.709598 45.43198)"
"81017","19","Piste multifonctionnelle","Oui","Non","T.Q.C","Flexible","Ville","0","152.6","{DBD3581C-7A7A-4D46-91DF-20F57F890CAF}","LINESTRING (-75.422784 45.544927,-75.422761 45.54494,-75.422714 45.544967,-75.422684 45.544984,-75.422669 45.544992,-75.422647 45.545005,-75.422631 45.545013,-75.422624 45.545017,-75.422612 45.545023,-75.422597 45.54503,-75.422587 45.545034,-75.422567 45.545044,-75.422557 45.545048,-75.422536 45.545057,-75.422515 45.545065,-75.422502 45.545071,-75.422473 45.545081,-75.42244 45.545094,-75.422395 45.54511,-75.422373 45.545119,-75.422339 45.545131,-75.422322 45.545138,-75.42231 45.545143,-75.422303 45.545146,-75.422294 45.54515,-75.422288 45.545153,-75.422285 45.545154,-75.422281 45.545157,-75.422275 45.54516,-75.422272 45.545162,-75.422269 45.545165,-75.422265 45.545167,-75.422263 45.545169,-75.42223 45.545197,-75.422102 45.545309,-75.422029 45.545363,-75.421944 45.545422,-75.421942 45.545423,-75.421937 45.545426,-75.421927 45.545432,-75.421923 45.545435,-75.421918 45.545438,-75.421917 45.545439,-75.421914 45.545442,-75.421912 45.545444,-75.421911 45.545446,-75.421909 45.545449,-75.421908 45.545453,-75.421905 45.545461,-75.421903 45.545467,-75.421902 45.545469,-75.4219 45.545474,-75.421899 45.545477,-75.421895 45.545483,-75.421893 45.545487,-75.42189 45.545494,-75.421888 45.545498,-75.421859 45.545573,-75.421832 45.545645,-75.421762 45.545754,-75.421705 45.545819,-75.421699 45.545826,-75.421691 45.545831,-75.421682 45.545836,-75.421672 45.54584,-75.421661 45.545842,-75.42165 45.545843,-75.421639 45.545843,-75.421628 45.545842,-75.421499 45.545814)"
"81017","20","Sentier polyvalent","Non","Non","T.Q.C","Flexible","Ville","0","945.1","{600C32B9-9CCE-47BA-9972-1727D18380DA}","LINESTRING (-75.663234 45.497906,-75.663302 45.498023,-75.663337 45.498113,-75.663377 45.498269,-75.663404 45.49842,-75.663422 45.49862,-75.663444 45.498907,-75.663444 45.499006,-75.663429 45.49903,-75.663373 45.499036,-75.663159 45.499049,-75.663111 45.499058,-75.663082 45.499088,-75.663112 45.499192,-75.663135 45.499267,-75.663162 45.49945,-75.663191 45.499638,-75.663227 45.499817,-75.66327 45.499949,-75.66328 45.5,-75.663281 45.500048,-75.663195 45.500304,-75.663142 45.500488,-75.663114 45.50059,-75.663073 45.500668,-75.662987 45.500758,-75.662894 45.500825,-75.662744 45.500907,-75.662531 45.501002,-75.662379 45.501102,-75.662176 45.501232,-75.661984 45.501361,-75.661839 45.501481,-75.661652 45.501636,-75.661595 45.501717,-75.661578 45.501799,-75.661603 45.501899,-75.661652 45.501987,-75.661756 45.5021,-75.66193 45.502287,-75.662118 45.502504,-75.662234 45.502659,-75.662283 45.50276,-75.662298 45.502857,-75.66227 45.502961,-75.662215 45.503094,-75.662181 45.503256,-75.662163 45.503386,-75.662087 45.503489,-75.661931 45.503645,-75.661788 45.503841,-75.661632 45.50407,-75.661606 45.504191,-75.661594 45.504319,-75.661615 45.504474,-75.661657 45.504647,-75.661672 45.504746,-75.661662 45.504859,-75.661634 45.504982,-75.661588 45.505074,-75.661581 45.505156,-75.661596 45.505227,-75.661647 45.505324,-75.661723 45.505427,-75.661746 45.505436)"
